Frame,Time (s),Video Title,left_shoulder_position_x,left_shoulder_position_y,left_shoulder_position_z,left_shoulder_velocity_x,left_shoulder_velocity_y,left_shoulder_velocity_z,left_shoulder_acceleration_x,left_shoulder_acceleration_y,left_shoulder_acceleration_z,right_shoulder_position_x,right_shoulder_position_y,right_shoulder_position_z,right_shoulder_velocity_x,right_shoulder_velocity_y,right_shoulder_velocity_z,right_shoulder_acceleration_x,right_shoulder_acceleration_y,right_shoulder_acceleration_z,left_elbow_position_x,left_elbow_position_y,left_elbow_position_z,left_elbow_velocity_x,left_elbow_velocity_y,left_elbow_velocity_z,left_elbow_acceleration_x,left_elbow_acceleration_y,left_elbow_acceleration_z,right_elbow_position_x,right_elbow_position_y,right_elbow_position_z,right_elbow_velocity_x,right_elbow_velocity_y,right_elbow_velocity_z,right_elbow_acceleration_x,right_elbow_acceleration_y,right_elbow_acceleration_z,left_wrist_position_x,left_wrist_position_y,left_wrist_position_z,left_wrist_velocity_x,left_wrist_velocity_y,left_wrist_velocity_z,left_wrist_acceleration_x,left_wrist_acceleration_y,left_wrist_acceleration_z,right_wrist_position_x,right_wrist_position_y,right_wrist_position_z,right_wrist_velocity_x,right_wrist_velocity_y,right_wrist_velocity_z,right_wrist_acceleration_x,right_wrist_acceleration_y,right_wrist_acceleration_z,left_hip_position_x,left_hip_position_y,left_hip_position_z,left_hip_velocity_x,left_hip_velocity_y,left_hip_velocity_z,left_hip_acceleration_x,left_hip_acceleration_y,left_hip_acceleration_z,right_hip_position_x,right_hip_position_y,right_hip_position_z,right_hip_velocity_x,right_hip_velocity_y,right_hip_velocity_z,right_hip_acceleration_x,right_hip_acceleration_y,right_hip_acceleration_z,left_knee_position_x,left_knee_position_y,left_knee_position_z,left_knee_velocity_x,left_knee_velocity_y,left_knee_velocity_z,left_knee_acceleration_x,left_knee_acceleration_y,left_knee_acceleration_z,right_knee_position_x,right_knee_position_y,right_knee_position_z,right_knee_velocity_x,right_knee_velocity_y,right_knee_velocity_z,right_knee_acceleration_x,right_knee_acceleration_y,right_knee_acceleration_z,left_ankle_position_x,left_ankle_position_y,left_ankle_position_z,left_ankle_velocity_x,left_ankle_velocity_y,left_ankle_velocity_z,left_ankle_acceleration_x,left_ankle_acceleration_y,left_ankle_acceleration_z,right_ankle_position_x,right_ankle_position_y,right_ankle_position_z,right_ankle_velocity_x,right_ankle_velocity_y,right_ankle_velocity_z,right_ankle_acceleration_x,right_ankle_acceleration_y,right_ankle_acceleration_z,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_hip_angle,right_hip_angle,left_knee_angle,right_knee_angle
1,0.19927644729614258,four,0.02733507752418518,-0.22905904054641724,-0.464205302298069,,,,,,,-0.060629040002822876,-0.2276788353919983,0.16450410336256027,,,,,,,0.08536109328269958,-0.09532874822616577,-0.35330957919359207,,,,,,,-0.04843786358833313,-0.11606234312057495,0.2695298120379448,,,,,,,-0.11659333109855652,-0.0835580825805664,-0.10792209953069687,,,,,,,-0.16460105776786804,-0.09919524192810059,0.09516646713018417,,,,,,,0.024333924055099487,0.005894601345062256,-0.1788126900792122,,,,,,,-0.024333924055099487,-0.005894601345062256,0.1788126900792122,,,,,,,-0.04139307141304016,0.18058454990386963,-0.1064487099647522,,,,,,,-0.06256946921348572,0.1569090485572815,0.29842420667409897,,,,,,,-0.00722464919090271,0.320586621761322,0.15608278661966324,,,,,,,-0.014722079038619995,0.2953738570213318,0.5073940083384514,,,,,,,107.03826602001462,56.479129441160325,21.74011626313703,39.538563455489644,146.75812349565268,141.89121636123951,133.42234765460296,150.58660487203164
2,0.22604036331176758,four,0.02757096290588379,-0.2348637580871582,-0.449398934841156,,,,,,,-0.0586475133895874,-0.23374539613723755,0.20240452885627747,,,,,,,0.0884292721748352,-0.10149717330932617,-0.354564368724823,,,,,,,-0.04757624864578247,-0.11885124444961548,0.2870778739452362,,,,,,,-0.11411672830581665,-0.08948564529418945,-0.11662166565656662,,,,,,,-0.16229704022407532,-0.10719597339630127,0.09494667500257492,,,,,,,0.02398008108139038,0.006410419940948486,-0.18465596437454224,,,,,,,-0.02398008108139038,-0.006410419940948486,0.18465596437454224,,,,,,,-0.04302370548248291,0.18965160846710205,-0.10698653757572174,,,,,,,-0.061587750911712646,0.16619181632995605,0.29847684502601624,,,,,,,-0.003406047821044922,0.33618319034576416,0.12074264138936996,,,,,,,-0.014789044857025146,0.3104311227798462,0.49562737345695496,,,,,,,102.52518573675201,59.66817323619503,24.155277758142283,40.78378858148885,149.80064406580058,137.81453927882345,136.7823194320113,150.68762999580517
3,0.2523531913757324,four,0.02560049295425415,-0.2359224259853363,-0.4506928324699402,,,,,,,-0.05843394994735718,-0.23446699976921082,0.19808803498744965,,,,,,,0.09052932262420654,-0.1033274233341217,-0.3678210973739624,,,,,,,-0.0373116135597229,-0.11651483178138733,0.28643375635147095,,,,,,,-0.11348581314086914,-0.09030851721763611,-0.13104982674121857,,,,,,,-0.15610679984092712,-0.10777029395103455,0.10134764015674591,,,,,,,0.023539364337921143,0.006104975938796997,-0.1852307915687561,,,,,,,-0.023539364337921143,-0.006104975938796997,0.1852307915687561,,,,,,,-0.04570204019546509,0.1892947256565094,-0.10778673738241196,,,,,,,-0.06045842170715332,0.16518738865852356,0.29712459444999695,,,,,,,-0.004787623882293701,0.33503958582878113,0.12414270639419556,,,,,,,-0.0160977840423584,0.3101383149623871,0.4810418486595154,,,,,,,98.7989646112829,57.03619355885597,27.484120011695097,39.6093436075784,149.28076840905075,139.15641456837216,135.81784069532534,152.0476078272464
4,0.27812862396240234,four,0.02501925826072693,-0.23765018582344055,-0.4460804983973503,,,,,,,-0.05866155028343201,-0.23547908663749695,0.19543979316949844,,,,,,,0.09087362885475159,-0.10450443625450134,-0.36746441572904587,,,,,,,-0.03125092387199402,-0.11623737215995789,0.29266879707574844,,,,,,,-0.11313393712043762,-0.09136524796485901,-0.12844306975603104,,,,,,,-0.15331268310546875,-0.10739102959632874,0.13304836302995682,,,,,,,0.023357003927230835,0.0052453577518463135,-0.1851622685790062,,,,,,,-0.023357003927230835,-0.0052453577518463135,0.1851622685790062,,,,,,,-0.0449848473072052,0.19171962141990662,-0.11887001246213913,,,,,,,-0.05643549561500549,0.16707906126976013,0.288899727165699,,,,,,,-0.00026789307594299316,0.3369561731815338,0.12556909769773483,,,,,,,-0.012120217084884644,0.3135737478733063,0.4680071249604225,,,,,,,97.72534213019047,55.48570611255774,28.314406320975994,41.185072412584624,147.1513739585409,141.98033280778245,131.88120994803293,151.8897882972238
5,0.3036026954650879,four,0.020487874746322632,-0.2388039231300354,-0.45625970512628555,,,,,,,-0.058855921030044556,-0.236735999584198,0.19249964505434036,,,,,,,0.08877238631248474,-0.10541290044784546,-0.3864697590470314,,,,,,,-0.027415066957473755,-0.11581146717071533,0.29060041159391403,,,,,,,-0.11575886607170105,-0.092418372631073,-0.13753513246774673,,,,,,,-0.14949342608451843,-0.10847079753875732,0.12922906130552292,,,,,,,0.021408289670944214,0.004756927490234375,-0.18876754492521286,,,,,,,-0.021408289670944214,-0.004756927490234375,0.18876754492521286,,,,,,,-0.05012449622154236,0.19608664512634277,-0.14451489597558975,,,,,,,-0.056348055601119995,0.168287992477417,0.2898707613348961,,,,,,,-0.004565149545669556,0.3382264971733093,0.1282636746764183,,,,,,,-0.015775471925735474,0.3159361481666565,0.47281672805547714,,,,,,,95.53386137406378,54.27431567819151,31.076097100431994,39.36408158604457,140.53466811317722,143.54902592516098,123.6461153187542,151.4405048342597
6,0.3294847011566162,four,0.017478257417678833,-0.239488422870636,-0.4559018015861511,,,,,,,-0.056254953145980835,-0.23717164993286133,0.19074715673923492,,,,,,,0.08814772963523865,-0.10588961839675903,-0.3910253345966339,,,,,,,-0.0024337470531463623,-0.1184835433959961,0.2897012531757355,,,,,,,-0.11517670750617981,-0.09211748838424683,-0.16293545067310333,,,,,,,-0.14114072918891907,-0.10537964105606079,0.12402507662773132,,,,,,,0.020060092210769653,0.00473785400390625,-0.18941470980644226,,,,,,,-0.020060092210769653,-0.00473785400390625,0.18941470980644226,,,,,,,-0.051694124937057495,0.1978631615638733,-0.15478478372097015,,,,,,,-0.05338123440742493,0.16978079080581665,0.28818023204803467,,,,,,,-0.0004500448703765869,0.33953630924224854,0.12731334567070007,,,,,,,-0.012548476457595825,0.3165297508239746,0.4720213711261749,,,,,,,92.58481187094193,50.97330104795448,32.57832669715272,40.19356180447419,138.1000609409791,145.11624539602076,120.04610678723652,150.90293444342217
7,0.35465312004089355,four,0.015089958906173706,-0.23929718136787415,-0.46972014009952545,,,,,,,-0.05586305260658264,-0.23703017830848694,0.17858456075191498,,,,,,,0.08712241053581238,-0.10568657517433167,-0.4187570959329605,,,,,,,-0.006812721490859985,-0.12181082367897034,0.2783515900373459,,,,,,,-0.1130891740322113,-0.08908972144126892,-0.22318580746650696,,,,,,,-0.14062783122062683,-0.10405340790748596,0.11786971241235733,,,,,,,0.018970102071762085,0.004888564348220825,-0.1929425299167633,,,,,,,-0.018970102071762085,-0.004888564348220825,0.1929425299167633,,,,,,,-0.055057793855667114,0.19650021195411682,-0.14883771538734436,,,,,,,-0.0524313747882843,0.16964468359947205,0.29122619330883026,,,,,,,-0.004628032445907593,0.34061482548713684,0.12837868928909302,,,,,,,-0.012828320264816284,0.3173739016056061,0.4795833081007004,,,,,,,87.1433660126717,52.30853834073581,37.305649866151285,37.30928881703194,139.20425471210393,148.30938911331535,122.89055556397814,150.70196672388047
8,0.3810610771179199,four,0.009224385023117065,-0.2385740578174591,-0.474160373210907,,,,,,,-0.05772623419761658,-0.23678669333457947,0.16757410764694214,,,,,,,0.08466306328773499,-0.10496488213539124,-0.4262673258781433,,,,,,,-0.013518422842025757,-0.12545612454414368,0.3169385492801666,,,,,,,-0.11595627665519714,-0.08606937527656555,-0.2446698397397995,,,,,,,-0.14411413669586182,-0.10360470414161682,0.2601916790008545,,,,,,,0.015683084726333618,0.005131930112838745,-0.1954464614391327,,,,,,,-0.015683084726333618,-0.005131930112838745,0.1954464614391327,,,,,,,-0.060507625341415405,0.19710025191307068,-0.1397237330675125,,,,,,,-0.04253891110420227,0.17132064700126648,0.29812943935394287,,,,,,,-0.00969359278678894,0.3445185720920563,0.12121862173080444,,,,,,,-0.009314924478530884,0.31995537877082825,0.49488818645477295,,,,,,,84.85163619440583,64.63299625761607,38.782446988628365,45.5076255732936,141.30268231279985,150.7856957564171,126.81676977294646,152.72492015700044
9,0.4062306880950928,four,0.00543251633644104,-0.2382260262966156,-0.4730362966656685,,,,,,,-0.05598601698875427,-0.2366628348827362,0.1507689282298088,,,,,,,0.08369001746177673,-0.10484501719474792,-0.4169398918747902,,,,,,,-0.007508665323257446,-0.1220833957195282,0.3116152808070183,,,,,,,-0.11615607142448425,-0.08467176556587219,-0.21363843232393265,,,,,,,-0.1419946849346161,-0.10217848420143127,0.2514367327094078,,,,,,,0.013603240251541138,0.005225449800491333,-0.19399236887693405,,,,,,,-0.013603240251541138,-0.005225449800491333,0.19399236887693405,,,,,,,-0.051108866930007935,0.19607022404670715,-0.06876444816589355,,,,,,,-0.036413103342056274,0.17103639245033264,0.30935343354940414,,,,,,,-0.0056518614292144775,0.3433229625225067,0.1509428396821022,,,,,,,-0.003212839365005493,0.31795403361320496,0.5174277648329735,,,,,,,88.11768910835508,62.588656540186584,36.841765586615814,43.08986786664591,156.96839992741513,152.13924679830322,145.8194496016268,154.54093132844199
10,0.43124866485595703,four,0.003297746181488037,-0.23811236023902893,-0.48000694811344147,,,,,,,-0.056872785091400146,-0.2366178333759308,0.15360212326049805,,,,,,,0.08356243371963501,-0.10480496287345886,-0.4143797904253006,,,,,,,-0.008548617362976074,-0.11762818694114685,0.2999010533094406,,,,,,,-0.11427348852157593,-0.08453366160392761,-0.14901331067085266,,,,,,,-0.14081645011901855,-0.10210517048835754,0.21093903481960297,,,,,,,0.014722585678100586,0.005163997411727905,-0.19588926434516907,,,,,,,-0.014722585678100586,-0.005163997411727905,0.19588926434516907,,,,,,,-0.0470089316368103,0.1958889663219452,-0.08015298843383789,,,,,,,-0.038493812084198,0.172475665807724,0.31441833078861237,,,,,,,0.003107607364654541,0.34541669487953186,0.1497759371995926,,,,,,,0.00022679567337036133,0.3190636932849884,0.5138366669416428,,,,,,,94.34030301514636,55.72191333562487,34.64224426591528,39.77337308022058,155.10970790207256,151.47356127221235,143.73309577578848,154.9295072696018
