video,frame,sports_ball_positions,LEFT_SHOULDER_vel,RIGHT_SHOULDER_vel,LEFT_SHOULDER_acc,RIGHT_SHOULDER_acc,LEFT_ELBOW_vel,RIGHT_ELBOW_vel,LEFT_ELBOW_acc,RIGHT_ELBOW_acc,LEFT_WRIST_vel,RIGHT_WRIST_vel,LEFT_WRIST_acc,RIGHT_WRIST_acc,LEFT_HIP_vel,RIGHT_HIP_vel,LEFT_HIP_acc,RIGHT_HIP_acc,NOSE_pos_x,NOSE_pos_y,LEFT_SHOULDER_pos_x,LEFT_SHOULDER_pos_y,RIGHT_SHOULDER_pos_x,RIGHT_SHOULDER_pos_y,LEFT_ELBOW_pos_x,LEFT_ELBOW_pos_y,RIGHT_ELBOW_pos_x,RIGHT_ELBOW_pos_y,LEFT_WRIST_pos_x,LEFT_WRIST_pos_y,RIGHT_WRIST_pos_x,RIGHT_WRIST_pos_y,LEFT_HIP_pos_x,LEFT_HIP_pos_y,RIGHT_HIP_pos_x,RIGHT_HIP_pos_y,LEFT_ELBOW_LEFT_SHOULDER_LEFT_WRIST_angle,RIGHT_ELBOW_RIGHT_SHOULDER_RIGHT_WRIST_angle,LEFT_SHOULDER_LEFT_HIP_LEFT_ELBOW_angle,RIGHT_SHOULDER_RIGHT_HIP_RIGHT_ELBOW_angle,is_shot,shot_id,shot_invalid,make
long_vid.mov,1,"76.78,-71.58",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.42,-327.8,85.5,-214.41,-63.57,-229.72,95.66,-103.01,-85.22,-113.5,96.14,-77.34,-6.45,-89.36,39.24,3.57,-39.24,-3.57,175.84,96.49,17.2,16.69,0,0,0,
long_vid.mov,2,"77.63,-73.42",57.66,42.57,0.0,0.0,88.66,56.84,0.0,0.0,147.94,109.82,0.0,0.0,37.04,37.04,0.0,0.0,31.36,-326.46,83.41,-214.55,-64.64,-228.61,94.04,-105.79,-87.07,-112.6,92.16,-80.94,-10.39,-88.79,37.93,3.25,-37.93,-3.25,170.08,96.31,17.38,17.7,0,0,0,
long_vid.mov,3,0,61.16,35.32,-866.1,-1181.31,107.52,63.88,-589.09,-655.77,143.42,106.38,-2966.78,-2207.04,30.79,30.79,-1025.17,-1025.17,29.5,-326.14,82.26,-215.0,-65.02,-228.61,96.68,-105.68,-88.49,-112.66,89.74,-80.61,-12.19,-88.96,37.6,3.24,-37.6,-3.24,157.03,95.82,19.08,18.38,0,0,0,
long_vid.mov,4,0,109.12,72.22,524.62,469.51,141.23,114.47,-1399.35,700.04,211.66,158.51,-1674.89,-1161.47,47.07,47.07,-463.82,-463.82,28.25,-323.08,80.3,-213.27,-65.86,-226.78,96.48,-103.85,-90.54,-110.82,86.06,-81.1,-14.45,-87.25,36.9,3.78,-36.9,-3.78,146.99,95.2,19.72,19.41,0,0,0,
long_vid.mov,5,"79.09,-76.32",106.97,57.58,-118.85,-807.13,119.11,92.87,-1218.6,-1190.49,263.82,114.26,2874.2,-2438.67,32.37,32.37,-809.89,-809.89,27.82,-320.51,78.36,-213.6,-66.61,-226.74,96.13,-105.84,-91.42,-110.78,81.67,-88.04,-15.71,-88.19,36.37,3.68,-36.37,-3.68,131.54,94.53,20.31,19.8,0,0,0,
long_vid.mov,6,"76.52,-77.89",92.87,58.53,-776.64,52.72,91.37,75.68,-1528.67,-947.1,286.45,91.51,1247.26,-1253.87,30.18,30.18,-120.69,-120.69,32.23,-319.59,78.18,-214.03,-66.91,-227.05,97.24,-106.06,-91.87,-110.6,78.87,-90.41,-15.66,-88.76,36.52,3.82,-36.52,-3.82,120.42,93.9,20.84,19.85,0,0,0,
long_vid.mov,7,"75.2,-82.31",86.85,68.62,-332.11,555.85,100.88,70.57,524.07,-281.96,275.76,92.98,-589.28,81.01,28.97,28.97,-66.68,-66.68,34.66,-322.29,78.53,-216.29,-67.67,-229.49,99.16,-104.7,-92.8,-112.89,76.03,-91.74,-15.35,-91.66,37.26,4.18,-37.26,-4.18,108.79,93.17,21.08,19.85,0,0,0,
long_vid.mov,8,"73.92,-83.44",59.19,75.67,-1524.26,388.69,89.02,64.33,-653.57,-343.5,199.18,91.01,-4220.09,-108.56,29.57,29.57,32.88,32.88,37.92,-321.45,78.86,-216.62,-66.59,-229.85,100.51,-104.92,-92.48,-113.34,73.72,-95.05,-14.02,-92.27,36.7,4.33,-36.7,-4.33,99.26,92.5,21.77,20.08,0,0,0,
long_vid.mov,9,"75.86,-86.04",57.95,75.67,-68.33,-0.37,104.07,57.8,829.18,-359.85,196.84,87.77,-128.58,-178.36,37.65,37.65,445.08,445.08,39.33,-321.44,79.2,-216.84,-66.2,-230.03,102.06,-103.74,-92.41,-113.43,71.03,-97.35,-14.41,-92.31,36.05,4.39,-36.05,-4.39,90.21,92.49,22.46,20.28,0,0,0,
long_vid.mov,10,"76.51,-90.47",35.83,53.58,-1218.6,-1216.95,78.68,35.01,-1399.35,-1256.26,174.73,78.2,-1218.6,-527.37,29.79,29.79,-432.78,-432.78,40.22,-321.99,79.58,-217.85,-66.19,-231.39,102.53,-102.9,-92.82,-114.6,69.19,-97.96,-16.41,-93.63,36.05,4.78,-36.05,-4.78,87.14,92.5,22.35,20.42,0,0,0,
long_vid.mov,11,"76.81,-93.48",34.38,38.31,-79.91,-841.48,66.07,28.5,-694.9,-358.56,118.52,53.24,-3097.75,-1375.29,22.05,22.05,-426.9,-426.9,41.81,-321.84,79.96,-217.92,-66.07,-231.66,102.75,-102.25,-92.64,-114.68,68.24,-98.16,-16.35,-93.73,36.21,4.78,-36.21,-4.78,85.61,92.56,22.26,20.3,0,0,0,
long_vid.mov,12,"77.73,-95.81",37.27,43.47,159.08,284.17,58.06,29.96,-441.04,80.27,89.98,66.14,-1572.75,710.51,26.11,26.11,223.73,223.73,44.8,-320.85,79.42,-217.79,-65.37,-231.54,101.38,-102.88,-92.79,-114.54,70.08,-97.42,-17.44,-93.6,35.33,4.74,-35.33,-4.74,89.09,92.34,22.03,20.73,0,0,0,
long_vid.mov,13,"77.59,-96.73",26.57,23.52,-589.46,-1099.38,57.05,9.91,-55.66,-1104.89,65.37,33.24,-1355.82,-1813.02,22.58,22.58,-194.35,-194.35,45.73,-318.81,78.95,-217.62,-65.61,-231.41,100.62,-103.4,-92.87,-114.43,69.87,-96.87,-18.01,-93.41,35.16,4.85,-35.16,-4.85,91.24,92.56,21.88,20.77,0,0,0,
long_vid.mov,14,"75.35,-96.81",25.0,25.37,-86.7,102.13,59.0,13.98,107.46,224.65,72.39,54.4,386.85,1166.06,29.57,29.57,385.01,385.01,46.09,-317.95,78.84,-217.91,-65.86,-231.72,100.95,-104.11,-92.76,-114.82,71.23,-96.81,-19.27,-93.58,35.68,4.72,-35.68,-4.72,92.8,93.17,21.97,20.53,0,0,0,
long_vid.mov,15,"76.47,-96.06",20.82,19.29,-230.16,-335.23,54.01,21.42,-275.35,409.63,47.29,53.33,-1383.19,-58.6,16.94,16.94,-695.64,-695.64,47.05,-316.76,78.68,-217.62,-66.15,-231.47,101.4,-105.27,-92.22,-114.56,71.79,-96.56,-20.01,-92.86,35.79,4.57,-35.79,-4.57,94.96,94.15,22.36,20.19,0,0,0,
